zone,efficiency,access_burden,demand,strategy,stage
0,10.249386517490885,4.621863535911294,3550.5170182682914,Current practice,Before redesign
1,12.453901812315344,6.45271120533067,3263.798610240413,Current practice,Before redesign
2,13.135023816507593,9.364143704486612,1829.2915375049847,Current practice,Before redesign
3,11.759481726210852,5.652182340476549,1197.2220672790431,Current practice,Before redesign
4,12.440176852155084,7.465392501583167,1144.520913888463,Current practice,Before redesign
5,11.896635683879989,8.216025553467952,1047.2933596257863,Current practice,Before redesign
6,10.177653755679374,5.971214765365505,420.45223759550385,Current practice,Before redesign
7,9.223824698466954,5.062287270024209,46.895810314183194,Current practice,Before redesign
0,8.793295950406778,4.968265369028706,3550.5170182682914,Joint MILP,After joint redesign
1,10.438480457194094,6.8822344933435,3263.798610240413,Joint MILP,After joint redesign
2,11.348043036294845,9.703502495685445,1829.2915375049847,Joint MILP,After joint redesign
3,9.874804316235348,5.7561056831149555,1197.2220672790431,Joint MILP,After joint redesign
4,10.689780246014392,7.674236665426803,1144.520913888463,Joint MILP,After joint redesign
5,10.50903596396297,8.527502436247547,1047.2933596257863,Joint MILP,After joint redesign
6,9.323162550152608,7.211642600137807,420.45223759550385,Joint MILP,After joint redesign
7,7.97719733280136,5.189520564099642,46.895810314183194,Joint MILP,After joint redesign
