instance,strategy,objective,z_eff,z_eq,transit_share,transit_ridership,private_flow,avg_access_min,avg_access_increase_min,coverage,max_zone_access_increase,retained_stops,avg_frequency,avg_wait_min,avg_ivh_min,runtime_sec,mip_gap,kkt_residual,fixed_point_iters,feasible,y_pattern,freq_pattern,scenario,strategy_short
beijing_route_438_weekday,Current practice,11.434180769854551,11.434180769854551,1.0292517175900214e-16,0.2779305532314661,2967.8456787539376,7710.522665074056,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,3.7,8.55,40.05554253298212,0.013473700266331434,,,18,True,111111111111111111111111111111,"3,5,5,3,3,3,3,4,5,3",weekday,C
beijing_route_438_weekday,Stop-only MILP,10.597740221103832,10.49803464647574,0.4985278731404669,0.32972836445671405,3520.961946204162,7157.406713855168,6.950353262212102,0.4985278731404669,1.0,1.3277953372173068,22,3.7,8.55,35.990785966113705,2.169036400038749,0.008524647357616105,,18,True,101101101111101111111010101011,"3,5,5,3,3,3,3,4,5,3",weekday,S
beijing_route_438_weekday,Frequency-only MILP,10.598536141120647,10.598536141120647,1.0292517175900214e-16,0.32370318173009566,3456.6228071243177,7221.745820375327,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,5.3,5.7,39.9232302337672,2.556987900286913,0.009657585448043942,,18,True,111111111111111111111111111111,"5,6,6,5,5,5,5,5,6,5",weekday,F
beijing_route_438_weekday,Joint MILP,9.648466329805986,9.548760755177893,0.4985278731404669,0.38325989167100927,4092.5914769370856,6585.777465579575,6.950353262212102,0.4985278731404669,1.0,1.3277953372173068,22,5.6,5.485714285714286,35.841543233337916,7.813367099966854,0.05826758988447975,,18,True,101101101111101111111010101011,"5,7,7,5,5,5,5,5,7,5",weekday,MILP
beijing_route_438_weekend,Current practice,11.887192732098157,11.887192732098157,1.1070869043620731e-16,0.2741210598609302,1857.7839297788005,4919.4527756807265,6.415968814150462,-3.368495820407868e-17,0.9999999999999999,0.0,30,3.7,8.55,38.536165157166934,0.013193299993872643,,,18,True,111111111111111111111111111111,"3,5,5,3,3,3,3,4,5,3",weekend,C
beijing_route_438_weekend,Stop-only MILP,11.016592571872314,10.927404987538138,0.44593792167087964,0.32519340097779614,2203.913390358118,4573.323522022086,6.861906735821342,0.4459379216708796,0.9999999999999999,1.3379893574394455,22,3.7,8.55,34.642967847788995,1.9276604000478983,0.0,,18,True,101101101111101111111010101011,"3,5,5,3,3,3,3,4,5,3",weekend,S
beijing_route_438_weekend,Frequency-only MILP,10.987435190158266,10.987435190158266,1.1070869043620731e-16,0.32199854992593313,2182.2611213015225,4594.975782402774,6.415968814150462,-3.368495820407868e-17,0.9999999999999999,0.0,30,5.3,5.7,38.49186992803386,2.287080300040543,0.0,,18,True,111111111111111111111111111111,"5,6,6,5,5,5,5,5,6,5",weekend,F
beijing_route_438_weekend,Joint MILP,10.00035940395355,9.911171819619373,0.44593792167087964,0.3805622399428252,2579.1612435946654,4198.073534183114,6.861906735821342,0.4459379216708796,0.9999999999999999,1.3379893574394455,22,5.6,5.485714285714286,34.59727603371908,6.215768099762499,0.01443920323502975,,17,True,101101101111101111111010101011,"5,7,7,5,5,5,5,5,7,5",weekend,MILP
beijing_route_438_holiday,Current practice,11.679150581085972,11.679150581085972,1.122184186700317e-16,0.2818226746168299,4156.881642112884,10593.106852838715,6.501117895618774,-3.767620846073813e-17,1.0,0.0,30,3.7,8.55,41.564660421731205,0.013273300137370825,,,19,True,111111111111111111111111111111,"3,5,5,3,3,3,3,4,5,3",holiday,C
beijing_route_438_holiday,Stop-only MILP,10.906162982443172,10.774149952974547,0.6600651473431299,0.32923147587985846,4856.160988293259,9893.825839302719,7.161183042961902,0.6600651473431297,1.0,1.2116363857017862,22,3.7,8.55,37.47972658870066,2.975531699601561,0.008208965314579425,,18,True,110101101110101111111110101101,"3,5,5,3,3,3,3,4,5,3",holiday,S
beijing_route_438_holiday,Frequency-only MILP,10.803464353079029,10.803464353079029,1.122184186700317e-16,0.3283200950741078,4842.718130490743,9907.268696448127,6.501117895618774,-3.767620846073813e-17,1.0,0.0,30,5.3,5.7,41.31952533739024,2.752343500033021,0.008120619626584209,,18,True,111111111111111111111111111111,"5,6,6,5,5,5,5,5,6,5",holiday,F
beijing_route_438_holiday,Joint MILP,10.060953247242084,9.989437516531478,0.3575786535530344,0.3721150895152117,5488.693862060884,9261.293272787463,6.858696549171807,0.3575786535530343,1.0,1.2116363857017862,23,5.5,5.635714285714285,37.786097690474044,9.536149100400507,0.04086082887000527,,18,True,110101101111101111111110101011,"5,7,7,5,5,5,5,5,7,4",holiday,MILP
